-102.5126, 597.4874
-89.75114, 610.2489
-46.67975, 653.3203
-20.86658, 679.1334
391.4823, 308.1263
543.5618, 148.0074
452.3364, 246.239
202.2311, 490.8173
186.7704, 506.438
298.6339, 400.8547
459.8077, 236.9682
455.3183, 242.3026
307.635, 391.6579
272.2229, 426.1356
302.2611, 381.9839
396.4743, 302.9427
406.4371, 292.8612
393.6863, 306.0005
-350.0, 350.0
-350.0, 350.0
-322.8585, 322.8585
130.757, -130.757
261.0381, -261.0381
117.7748, -117.7748
-195.554, 195.554
-184.3487, 184.3487
-73.86366, 73.86366
121.5043, -121.5043
124.0114, -124.0114
32.33759, -32.33759
-78.8324, 78.8324
-57.4291, 57.4291
-27.0276, 27.0276
42.96596, -42.96596
33.17552, -33.17552
15.88658, -15.88658
-24.49774, 24.49774
-24.09022, 24.09022
-596.089, 103.911
-580.5545, 119.4456
-441.2161, 258.7839
-368.1936, 331.8065
-289.8331, 410.1669
-160.4575, 539.5425
-105.4926, 594.5075
-68.84284, 631.1572
18.28946, 658.7281
207.1666, 490.1348
366.4353, 332.7588
450.2528, 245.3707
417.558, 280.5542
367.0192, 332.7641
310.927, 388.8939
326.3931, 373.5844
345.3746, 354.603
372.177, 327.5321
368.9702, 330.8393
363.8513, 336.0493
280.2394, 294.7098
338.6285, 361.3631
342.3231, 357.6762
-688.9969, 11.00314
-685.5451, 14.45496
-667.4682, 32.53186
-567.9306, 132.0694
-487.4749, 212.5251
-424.065, 275.935
-278.8648, 421.1353
-207.5927, 492.4073
-154.0082, 545.9918
-58.96463, 641.0354
-28.8523, 671.1477
81.94583, 602.8234
503.6876, 188.7359
606.8428, 76.44092
482.5213, 214.5315
152.5226, 536.307
147.1307, 543.2528
277.3002, 421.8792
469.8306, 225.7563
457.033, 240.1203
383.4215, 316.4236
285.585, 413.1913
296.1407, 403.152
377.8378, 321.9454
385.5611, 314.1521
361.1009, 338.8865
327.7303, 372.1111
326.2806, 373.5747
343.3006, 356.6917
363.7379, 336.2101
360.7379, 339.2365
350.5117, 349.4883
347.2283, 352.7683
346.4097, 353.5862
345.6509, 354.3444
316.005, 308.6065
354.922, 345.0731
350.6899, 349.3101
